LG13	141	142	0
LG18	20	21	0
LG4	198	199	0
LG7	175	176	0
LG8	109	110	0
LG1	69	70	0
LG17	63	64	0
LG2	33	34	0
LG5	86	87	0
LG3	52	53	0.399916435078339
LG14	5	6	0
LG1	207	208	0
LG5	40	41	0
LG6	52	53	0
LG5	106	107	0
LG13	50	51	0
LG10	128	129	0
LG15	9	10	0
LG5	31	32	0
LG4	143	144	0
LG14	14	15	0
LG11	8	9	0
LG10	95	96	0
LG17	63	64	0
LG1	132	133	0
LG2	204	205	0
LG7	158	159	0
LG9	61	62	0
LG4	140	141	0
LG12	31	32	0
LG4	57	58	0
LG8	95	96	0
LG6	59	60	0
LG14	76	77	0
LG16	51	52	0
LG8	135	136	0
LG3	113	114	2.34054902613293
LG5	185	186	0
LG13	88	89	0
LG1	104	105	0
LG11	64	65	0
LG10	95	96	0
LG2	89	90	0
LG6	180	181	0
LG9	129	130	0
LG5	61	62	0
LG14	89	90	0
LG18	20	21	0
LG11	23	24	0
LG19	73	74	0
LG16	43	44	0
LG5	40	41	0
LG4	140	141	0
LG6	162	163	0
LG14	108	109	0
LG3	116	117	2.137929392225
LG14	17	18	0
LG18	106	107	0
LG14	14	15	0
LG14	81	82	0
LG4	138	139	0
LG6	105	106	0
LG2	159	160	0
LG13	82	83	0
LG16	23	24	0
LG19	44	45	0
LG18	7	8	0
LG8	109	110	0
LG15	95	96	0
LG8	107	108	0
LG7	92	93	0
LG16	47	48	0
LG4	144	145	0
LG3	228	229	0
LG14	11	12	0
LG14	77	78	0
LG9	174	175	0
LG12	163	164	0
LG10	134	135	0
LG18	23	24	0
LG8	54	55	0
LG10	98	99	0
LG16	44	45	0
LG14	112	113	0
LG3	71	72	0
LG18	66	67	0
LG7	78	79	0
LG3	114	115	3.57444351032466
LG1	207	208	0
LG11	86	87	0
LG8	105	106	0
LG10	2	3	0
LG8	105	106	0
LG3	113	114	4.3647544393374
LG6	68	69	0
LG6	129	130	0
LG13	36	37	0
LG7	81	82	0
LG7	73	74	0
LG9	125	126	0
LG10	68	69	0
LG8	164	165	0
LG5	86	87	0
LG13	130	131	0
LG10	67	68	0
LG8	110	111	0
LG9	171	172	0
LG5	114	115	0
LG7	172	173	0
LG3	40	41	0
LG16	55	56	0
LG9	91	92	0
LG16	56	57	0
LG5	125	126	0
LG1	251	252	0
LG10	124	125	0
LG6	49	50	0
LG14	42	43	0
LG10	169	170	0
LG3	220	221	0
LG17	101	102	0
LG7	176	177	0
LG6	71	72	0
LG19	34	35	0
LG9	69	70	0
LG13	83	84	0
LG6	181	182	0
LG3	84	85	4.3647544393374
LG2	88	89	0
LG13	93	94	0
LG11	62	63	0
LG6	72	73	0
LG16	60	61	0
LG6	24	25	0
LG18	17	18	0
LG11	24	25	0
LG19	87	88	0
LG14	121	122	0
LG14	21	22	0
LG2	84	85	0
LG6	102	103	0
LG13	146	147	0
LG8	104	105	0
LG11	3	4	0
LG2	91	92	0
LG11	9	10	0
LG1	203	204	0
LG10	99	100	0
LG9	139	140	0
LG13	145	146	0
LG2	71	72	0
LG5	120	121	0
LG14	4	5	0
LG13	148	149	0
LG1	205	206	0
LG3	70	71	0.392461992866379
LG1	209	210	0
LG16	58	59	0
LG15	96	97	0
LG13	144	145	0
LG9	27	28	0
LG13	130	131	0
LG6	124	125	0
LG17	71	72	0
LG3	180	181	0
LG2	182	183	0
LG9	166	167	0
LG13	145	146	0
LG16	53	54	0
LG13	88	89	0
LG8	60	61	0
LG5	144	145	0
LG16	48	49	0
LG13	88	89	0
LG4	141	142	0
LG13	89	90	0
LG2	84	85	0
LG6	60	61	0
LG6	125	126	0
LG16	51	52	0
LG16	30	31	0
LG2	181	182	0
LG11	70	71	0
LG5	106	107	0
LG15	20	21	0
LG1	206	207	0
LG1	140	141	0
LG16	20	21	0
LG1	204	205	0
LG15	6	7	0
LG18	10	11	0
LG6	107	108	0
LG14	131	132	0
LG13	142	143	0
LG5	184	185	0
LG9	92	93	0
LG16	39	40	0
LG11	13	14	0
LG16	76	77	0
LG5	55	56	0
LG14	96	97	0
LG6	129	130	0
LG14	74	75	0
LG6	63	64	0
LG15	135	136	0
LG8	109	110	0
LG9	172	173	0
LG18	3	4	0
LG7	112	113	0
LG6	63	64	0
LG2	152	153	0
LG2	151	152	0
LG7	158	159	0
LG11	76	77	0
LG10	58	59	0
LG8	53	54	0
LG17	54	55	0
LG11	76	77	0
LG13	87	88	0
LG19	78	79	0
LG13	88	89	0
LG14	40	41	0
LG15	15	16	0
LG3	180	181	0
LG14	110	111	0
LG9	92	93	0
LG13	93	94	0
LG17	38	39	0
LG14	14	15	0
LG19	41	42	0
LG6	71	72	0
LG9	24	25	0
LG7	78	79	0
LG15	89	90	0
LG10	93	94	0
LG14	77	78	0
LG14	89	90	0
LG1	101	102	0
LG11	15	16	0
LG3	84	85	2.89000465765544
LG16	32	33	0
LG17	36	37	0
LG9	16	17	0
LG19	43	44	0
LG5	4	5	0
LG3	215	216	0
LG2	97	98	0
LG9	26	27	0
LG14	71	72	0
LG9	161	162	0
LG9	50	51	0
LG7	160	161	0
LG10	97	98	0
LG15	94	95	0
LG18	8	9	0
LG11	51	52	0
LG16	60	61	0
LG11	56	57	0
LG9	100	101	0
LG12	29	30	0
LG9	24	25	0
LG2	82	83	0
LG18	20	21	0
LG1	215	216	0
LG19	41	42	0
LG3	50	51	0.842389924034612
LG5	2	3	0
LG6	175	176	0
LG13	89	90	0
LG1	135	136	0
LG15	131	132	0
LG19	34	35	0
LG13	82	83	0
LG15	29	30	0
LG6	75	76	0
LG14	80	81	0
LG1	220	221	0
LG18	8	9	0
LG9	13	14	0
LG15	131	132	0
LG7	81	82	0
LG8	110	111	0
LG16	114	115	0
LG19	38	39	0
LG8	97	98	0
LG2	96	97	0
LG6	129	130	0
LG18	25	26	0
LG12	62	63	0
LG16	38	39	0
LG4	141	142	0
LG14	78	79	0
LG17	19	20	0
LG4	42	43	0
LG3	123	124	0.231449954157781
LG14	13	14	0
LG9	101	102	0
LG2	79	80	0
LG19	5	6	0
LG10	101	102	0
LG6	54	55	0
LG2	98	99	0
LG8	109	110	0
LG1	137	138	0
LG11	31	32	0
LG10	96	97	0
LG1	235	236	0
LG4	141	142	0
LG6	102	103	0
LG14	27	28	0
LG13	88	89	0
LG10	6	7	0
LG8	104	105	0
LG8	154	155	0
LG12	166	167	0
LG10	94	95	0
