"maker" "LG" "cM" "pval" "p.adj" "p.adg_lg"
"1" 5310 1 0 0.8969 0.989835673347069 0.968179722222222
"2" 15611 1 1.17347839499667 0.32876 0.987572231404959 0.891888607594937
"3" 19531 1 1.93691336191271 0.1072 0.987572231404959 0.891888607594937
"4" 14617 1 1.93691346191271 0.57186 0.987572231404959 0.891888607594937
"5" 18161 1 1.93691366191272 0.71572 0.989835673347069 0.931635530726257
"6" 48394 1 1.93691376191272 0.34992 0.987572231404959 0.891888607594937
"7" 14117 1 1.93691386191272 0.73774 0.989835673347069 0.934203369565217
"8" 3203 1 1.93691416191273 0.51652 0.987572231404959 0.891888607594937
"9" 45823 1 1.93691426191273 0.51404 0.987572231404959 0.891888607594937
"10" 37200 1 1.93691436191274 0.52874 0.987572231404959 0.891888607594937
"11" 46782 1 1.93691446191274 0.66316 0.987572231404959 0.912460701754386
"12" 55303 1 2.46205327856443 0.53954 0.987572231404959 0.891888607594937
"13" 38438 1 2.98539374624479 0.45056 0.987572231404959 0.891888607594937
"14" 27966 1 3.67879526599755 0.59742 0.987572231404959 0.891888607594937
"15" 9449 1 4.2165882033737 0.26846 0.987572231404959 0.891888607594937
"16" 22393 1 5.98842412540925 0.22768 0.987572231404959 0.891888607594937
"17" 51512 1 6.25611613880243 0.28196 0.987572231404959 0.891888607594937
"18" 38095 1 7.07856598384095 0.01924 0.987572231404959 0.560365
"19" 21399 1 7.3740755997841 0.30708 0.987572231404959 0.891888607594937
"20" 4138 1 9.78906570414516 0.95302 0.993325741540677 0.982538318584071
"21" 33492 1 11.0629772591333 0.0168 0.987572231404959 0.5592
"22" 17784 1 13.4050147433819 0.1725 0.987572231404959 0.891888607594937
"23" 53697 1 13.4050148433819 0.09022 0.987572231404959 0.891888607594937
"24" 48179 1 39.8761894760884 0.00517999999999996 0.976486875000004 0.301734999999998
"25" 9458 1 40.4609924786488 0.01008 0.987572231404959 0.469728
"26" 2409 1 41.7473134887006 0.000720000000000054 0.475449230769218 0.167760000000013
"27" 11 1 43.2299852804181 0.00446000000000002 0.976486875000004 0.301734999999998
"28" 37608 1 44.7428757400996 0.05484 0.987572231404959 0.891888607594937
"29" 18384 1 44.7428758400996 0.01658 0.987572231404959 0.5592
"30" 8225 1 45.2445768068548 0.16642 0.987572231404959 0.891888607594937
"31" 22273 1 47.9903853020949 0.4655 0.987572231404959 0.891888607594937
"32" 45488 1 48.2703330200838 0.24204 0.987572231404959 0.891888607594937
"33" 38469 1 53.9150381507672 0.07768 0.987572231404959 0.891888607594937
"34" 23658 1 54.3599936546368 0.29308 0.987572231404959 0.891888607594937
"35" 19315 1 54.7897338956804 0.39296 0.987572231404959 0.891888607594937
"36" 52883 1 55.3825373109278 0.4372 0.987572231404959 0.891888607594937
"37" 28251 1 56.8819981990809 0.36068 0.987572231404959 0.891888607594937
"38" 19452 1 56.8819982990809 0.47892 0.987572231404959 0.891888607594937
"39" 40332 1 58.6501920281992 0.91976 0.989835673347069 0.971599551569507
"40" 22924 1 59.0720543265845 0.82808 0.989835673347069 0.95481180952381
"41" 51698 1 59.8043362995088 0.59822 0.987572231404959 0.891888607594937
"42" 40899 1 64.5366829878909 0.23344 0.987572231404959 0.891888607594937
"43" 27904 1 65.1196682634632 0.92864 0.990136208811551 0.971599551569507
"44" 34847 1 67.2254603358526 0.6776 0.989835673347069 0.912605780346821
"45" 47765 1 68.7334564765149 0.15624 0.987572231404959 0.891888607594937
"46" 13304 1 69.1838439040938 0.31522 0.987572231404959 0.891888607594937
"47" 42874 1 101.495552799606 0.40494 0.987572231404959 0.891888607594937
"48" 42919 1 101.495552899606 0.48586 0.987572231404959 0.891888607594937
"49" 38937 1 102.154386411883 0.60364 0.987572231404959 0.891888607594937
"50" 37951 1 104.070492114621 0.87442 0.989835673347069 0.955474205607477
"51" 28348 1 104.265206328693 0.9299 0.990136208811551 0.971599551569507
"52" 46398 1 104.778166481761 0.65706 0.987572231404959 0.912460701754386
"53" 2620 1 105.772930318146 0.96254 0.993325741540677 0.986100964912281
"54" 3788 1 106.997794884888 0.92152 0.989835673347069 0.971599551569507
"55" 18617 1 107.590648037013 0.85504 0.989835673347069 0.95481180952381
"56" 11738 1 107.590648237013 0.80018 0.989835673347069 0.952052121212121
"57" 35465 1 108.948487548892 0.99282 0.996866277192982 0.99282
"58" 26279 1 131.642896635172 0.97588 0.994473155270655 0.988608869565217
"59" 46704 1 133.234719124939 0.67528 0.989835673347069 0.912605780346821
"60" 31375 1 133.944849671708 0.52528 0.987572231404959 0.891888607594937
"61" 34287 1 135.05394182345 0.48918 0.987572231404959 0.891888607594937
"62" 18162 1 135.05394192345 0.9174 0.989835673347069 0.971599551569507
"63" 52220 1 135.05394202345 0.92632 0.990136208811551 0.971599551569507
"64" 46632 1 135.05394212345 0.538 0.987572231404959 0.891888607594937
"65" 3808 1 135.05394222345 0.79236 0.989835673347069 0.952052121212121
"66" 53785 1 135.05394232345 0.59524 0.987572231404959 0.891888607594937
"67" 28046 1 135.324033739743 0.86056 0.989835673347069 0.95481180952381
"68" 4617 1 135.324033839743 0.79276 0.989835673347069 0.952052121212121
"69" 20013 1 135.324033939743 0.8137 0.989835673347069 0.952724120603015
"70" 14677 1 136.122449669991 0.76894 0.989835673347069 0.947952486772487
"71" 51288 1 136.836902658668 0.56274 0.987572231404959 0.891888607594937
"72" 28482 1 137.183341512246 0.94284 0.991070427131073 0.9763632
"73" 14849 1 137.707885832998 0.98638 0.995143164935751 0.990631637931035
"74" 21004 1 137.707885932998 0.2446 0.987572231404959 0.891888607594937
"75" 1201 1 137.970792619766 0.83166 0.989835673347069 0.95481180952381
"76" 54629 1 137.970792719766 0.98322 0.995083462422635 0.990631637931035
"77" 41596 1 137.970792819766 0.56438 0.987572231404959 0.891888607594937
"78" 3417 1 138.508281615573 0.5601 0.987572231404959 0.891888607594937
"79" 1891 1 138.508281715573 0.74652 0.989835673347069 0.935156774193548
"80" 48957 1 139.589405185033 0.35128 0.987572231404959 0.891888607594937
"81" 37978 1 139.589405285033 0.87718 0.989835673347069 0.955474205607477
"82" 55942 1 139.589405385033 0.85994 0.989835673347069 0.95481180952381
"83" 14193 1 152.911630793593 0.22644 0.987572231404959 0.891888607594937
"84" 41304 1 188.860235599757 0.42808 0.987572231404959 0.891888607594937
"85" 1516 1 200.270285156448 0.44996 0.987572231404959 0.891888607594937
"86" 30822 1 200.818675765549 0.2364 0.987572231404959 0.891888607594937
"87" 23174 1 200.818675865549 0.14744 0.987572231404959 0.891888607594937
"88" 10453 1 201.139393111651 0.6501 0.987572231404959 0.912460701754386
"89" 9222 1 201.403083738216 0.2376 0.987572231404959 0.891888607594937
"90" 14354 1 202.209753517541 0.37512 0.987572231404959 0.891888607594937
"91" 38017 1 202.467189302125 0.31808 0.987572231404959 0.891888607594937
"92" 55122 1 202.751948087719 0.5652 0.987572231404959 0.891888607594937
"93" 19247 1 202.751948187719 0.22866 0.987572231404959 0.891888607594937
"94" 52025 1 202.751948287719 0.80904 0.989835673347069 0.952052121212121
"95" 20743 1 202.751948387719 0.42732 0.987572231404959 0.891888607594937
"96" 37838 1 203.031022354336 0.21322 0.987572231404959 0.891888607594937
"97" 35743 1 203.304439631929 0.48498 0.987572231404959 0.891888607594937
"98" 12960 1 203.546324342039 0.2599 0.987572231404959 0.891888607594937
"99" 3385 1 203.546324442039 0.87756 0.989835673347069 0.955474205607477
"100" 25424 1 203.788158167061 0.70702 0.989835673347069 0.931635530726257
"101" 34987 1 204.049646108175 0.61004 0.987572231404959 0.893957987421384
"102" 25404 1 204.049646208175 0.70072 0.989835673347069 0.931635530726257
"103" 7866 1 204.049646308175 0.17654 0.987572231404959 0.891888607594937
"104" 48541 1 204.049646408175 0.97068 0.993799921386457 0.987635109170306
"105" 51357 1 204.049646508175 0.41434 0.987572231404959 0.891888607594937
"106" 7653 1 204.314298739502 0.85362 0.989835673347069 0.95481180952381
"107" 35112 1 204.314298839502 0.19086 0.987572231404959 0.891888607594937
"108" 17358 1 204.573592287688 0.43728 0.987572231404959 0.891888607594937
"109" 47994 1 204.573592387688 0.39122 0.987572231404959 0.891888607594937
"110" 30028 1 204.573592587688 0.19982 0.987572231404959 0.891888607594937
"111" 55411 1 205.097420629159 0.41354 0.987572231404959 0.891888607594937
"112" 41481 1 205.097420729159 0.44484 0.987572231404959 0.891888607594937
"113" 10503 1 205.097420829159 0.48894 0.987572231404959 0.891888607594937
"114" 45324 1 205.097420929159 0.07136 0.987572231404959 0.891888607594937
"115" 3152 1 205.097421029159 0.9391 0.990876700423495 0.9763632
"116" 5722 1 205.097421129159 0.2294 0.987572231404959 0.891888607594937
"117" 7839 1 205.348010671735 0.43254 0.987572231404959 0.891888607594937
"118" 36680 1 205.348010771735 0.06446 0.987572231404959 0.891888607594937
"119" 33898 1 205.348010871735 0.3955 0.987572231404959 0.891888607594937
"120" 18807 1 205.863493873014 0.3055 0.987572231404959 0.891888607594937
"121" 54553 1 205.863493973014 0.1499 0.987572231404959 0.891888607594937
"122" 52932 1 205.863494273014 0.66966 0.988032647589585 0.912460701754386
"123" 18208 1 206.123751768935 0.1408 0.987572231404959 0.891888607594937
"124" 4457 1 206.123751968935 0.57608 0.987572231404959 0.891888607594937
"125" 29641 1 206.386645375122 0.45362 0.987572231404959 0.891888607594937
"126" 11360 1 206.386645575122 0.25582 0.987572231404959 0.891888607594937
"127" 40526 1 206.386645675122 0.10122 0.987572231404959 0.891888607594937
"128" 46351 1 206.386652932188 0.47872 0.987572231404959 0.891888607594937
"129" 40822 1 206.644066954571 0.09276 0.987572231404959 0.891888607594937
"130" 24837 1 206.644067054571 0.54764 0.987572231404959 0.891888607594937
"131" 11484 1 206.644067154571 0.09078 0.987572231404959 0.891888607594937
"132" 35717 1 206.644067254571 0.31214 0.987572231404959 0.891888607594937
"133" 5389 1 206.644067354571 0.06706 0.987572231404959 0.891888607594937
"134" 36109 1 206.644067554571 0.8701 0.989835673347069 0.955474205607477
"135" 22278 1 206.644067754571 0.3199 0.987572231404959 0.891888607594937
"136" 35889 1 206.644067854571 0.79374 0.989835673347069 0.952052121212121
"137" 48079 1 206.88685766733 0.15822 0.987572231404959 0.891888607594937
"138" 21793 1 207.128983623789 0.53274 0.987572231404959 0.891888607594937
"139" 4100 1 207.419236315395 0.25706 0.987572231404959 0.891888607594937
"140" 24771 1 208.38685483449 0.71044 0.989835673347069 0.931635530726257
"141" 16898 1 208.672954148168 0.13996 0.987572231404959 0.891888607594937
"142" 53798 1 208.672954248168 0.13048 0.987572231404959 0.891888607594937
"143" 25513 1 208.672954448168 0.4803 0.987572231404959 0.891888607594937
"144" 15209 1 208.672954548168 0.89754 0.989835673347069 0.968179722222222
"145" 54545 1 208.672954648168 0.75104 0.989835673347069 0.935787807486631
